Title,Price,Rate
The Torch Is Passed: ...,19.09,1
The Mindfulness and Acceptance ...,23.89,4
The Art Forger,40.76,3
On a Midnight Clear,14.07,3
Judo: Seven Steps to ...,53.90,2
"Shobu Samurai, Project Aryoku ...",29.06,3
Modern Romance,28.26,5
The White Queen (The ...,25.91,5
The Song of Achilles,37.40,5
The Immortal Life of ...,40.67,2
The Dovekeepers,48.78,1
More Than Music (Chasing ...,37.61,2
Code Name Verity (Code ...,22.13,4
Cell,20.29,4
Angels Walking (Angels Walking ...,34.20,2
A Series of Catastrophes ...,56.48,2
A People's History of ...,40.79,2
A Brush of Wings ...,55.51,1
Rook,37.86,4
The Midnight Watch: A ...,26.20,1
The Gray Rhino: How ...,59.15,4
The Children,11.88,3
One with You (Crossfire ...,15.71,4
Without Shame,48.27,5
Watchmen,58.05,4
A Hero's Curse (The ...,50.49,3
23 Degrees South: A ...,35.79,2
The Glass Castle,16.24,1
The Drowning Girls,35.67,3
Team of Rivals: The ...,20.12,5
John Adams,57.43,4
Good in Bed (Cannie ...,37.05,5
The Joy of Cooking,43.27,4
The Golden Compass (His ...,18.77,1
The God Delusion,46.85,3
Pride and Prejudice,19.27,4
Mere Christianity,48.51,3
Fun Home: A Family ...,56.59,4
The Raven King (The ...,30.57,2
Find Her (Detective D.D. ...,22.37,1
Evicted: Poverty and Profit ...,42.27,1
A Game of Thrones ...,46.42,2
A Clash of Kings ...,10.79,3
The Tipping Point: How ...,10.02,2
The Rest Is Noise: ...,34.77,1
The Purpose Driven Life: ...,37.19,3
The Hitchhiker's Guide to ...,47.80,3
The Girl Who Kicked ...,57.48,1
The End of Faith: ...,22.13,4
The Complete Poems,41.32,5
The Catcher in the ...,24.55,1
The Case for Christ ...,47.84,1
The Blind Side: Evolution ...,53.71,5
Seven Days in the ...,52.33,2
Sarah's Key,46.29,1
Rogue Lawyer (Rogue Lawyer ...,50.11,3
Manuscript Found in Accra,34.98,2
Fire Bound (Sea Haven/Sisters ...,21.28,4
Cosmos,36.17,2
#GIRLBOSS,50.96,1
The Sense of an ...,31.38,3
The Republic,33.78,3
The Odyssey,29.64,3
The Light of the ...,54.43,1
The Iliad,16.16,1
The Communist Manifesto,14.76,3
Lord of the Flies,24.89,3
