Title,Price,Rate
The Secret Garden,15.08,4
The Metamorphosis,28.58,1
The Pilgrim's Progress,50.26,2
The Hound of the ...,14.82,2
Little Women (Little Women ...,28.07,4
Gone with the Wind,32.49,3
Candide,58.63,3
Animal Farm,57.22,3
Wuthering Heights,17.73,3
The Picture of Dorian ...,29.70,2
The Complete Stories and ...,26.78,4
Beowulf,38.35,2
And Then There Were ...,35.01,2
The Story of Hong ...,43.19,4
The Little Prince,45.42,2
Sense and Sensibility,37.46,1
Of Mice and Men,47.11,2
Emma,32.93,2
Alice in Wonderland (Alice's ...,55.53,1
