Title,Price,Rate
Unicorn Tracks,18.78,3
"Saga, Volume 6 (Saga ...",25.02,3
Princess Between Worlds (Wide-Awake ...,13.34,5
Masks and Shadows,56.40,2
Crown of Midnight (Throne ...,43.29,3
Avatar: The Last Airbender: ...,28.09,2
A Court of Thorns ...,52.37,1
Throne of Glass (Throne ...,35.07,3
The Glittering Court (The ...,44.28,1
Hollow City (Miss Peregrineâs ...,42.98,1
The Star-Touched Queen,46.02,5
The Hidden Oracle (The ...,52.26,2
The Bane Chronicles (The ...,44.73,4
Island of Dragons (Unwanteds ...,29.65,1
Demigods & Magicians: Percy ...,37.51,5
City of Glass (The ...,56.02,4
Searching for Meaning in ...,38.73,1
The Star-Touched Queen,32.30,5
A Shard of Ice ...,56.63,3
King's Folly (The Kinsman ...,39.61,5
Every Heart a Doorway ...,12.16,5
A Gathering of Shadows ...,44.81,4
The Raven Boys (The ...,57.74,4
The False Prince (The ...,56.00,5
Tell the Wind and ...,45.51,3
A Feast for Crows ...,17.21,4
The Demonists (Demonist #1),52.11,2
The Beast (Black Dagger ...,46.08,5
Paper and Fire (The ...,49.45,5
Harry Potter and the ...,31.63,4
Harry Potter and the ...,48.75,5
Harry Potter and the ...,14.74,1
The Rose & the ...,58.64,4
Soldier (Talon #3),24.72,2
Midnight Riot (Peter Grant/ ...,55.46,2
Heir to the Sky,44.07,4
Eragon (The Inheritance Cycle ...,43.87,3
Darkfever (Fever #1),56.02,1
Ash,22.06,4
A Storm of Swords ...,31.22,2
Vampire Girl (Vampire Girl ...,53.82,2
The Silent Twin (Detective ...,36.25,3
The Mirror & the ...,29.38,1
Sister Sable (The Mad ...,13.33,3
Shadow Rites (Jane Yellowrock ...,21.72,4
Origins (Alphas 0.5),28.99,1
One Second (Seven #7),52.94,2
Myriad (Prentor #1),58.75,4
