Title,Price,Rate
Foolproof Preserving: A Guide ...,30.52,3
The Pioneer Woman Cooks: ...,56.41,1
My Paris Kitchen: Recipes ...,33.37,2
Mama Tried: Traditional Italian ...,14.02,4
"Layered: Baking, Building, and ...",40.11,1
The Nerdy Nummies Cookbook: ...,37.34,5
The Love and Lemons ...,37.60,2
The Cookies & Cups ...,41.25,1
Deliciously Ella Every Day: ...,42.16,3
The Help Yourself Cookbook ...,28.77,3
"It's All Easy: Healthy, ...",19.55,1
Barefoot Contessa Back to ...,28.01,1
Barefoot Contessa at Home: ...,50.62,5
My Kitchen Year: 136 ...,11.53,2
Everyday Italian: 125 Simple ...,20.10,5
A la Mode: 120 ...,38.77,1
Cravings: Recipes for What ...,20.50,3
The Moosewood Cookbook: Recipes ...,12.34,4
32 Yolks,53.63,2
Naturally Lean: 125 Nourishing ...,11.38,5
How to Cook Everything ...,46.01,4
How to Be a ...,28.25,2
The Barefoot Contessa Cookbook,59.92,5
Better Homes and Gardens ...,39.61,3
The Power Greens Cookbook: ...,11.05,5
Mexican Today: New and ...,24.91,5
Vegan Vegetarian Omnivore: Dinner ...,13.66,2
The Smitten Kitchen Cookbook,23.59,1
The Art of Simple ...,34.32,3
Hungry Girl Clean & ...,33.14,3
