Title,Price,Rate
Sapiens: A Brief History ...,54.23,5
Unbound: How Eight Technologies ...,25.52,1
The Age of Genius: ...,19.73,1
"Political Suicide: Missteps, Peccadilloes, ...",36.28,2
Thomas Jefferson and the ...,59.64,1
Zealot: The Life and ...,24.70,3
A Distant Mirror: The ...,14.58,3
1491: New Revelations of ...,21.80,3
Brilliant Beacons: A History ...,11.45,3
"""Most Blessed of the ...",44.48,5
A Short History of ...,52.40,5
The Rise and Fall ...,39.67,2
Catherine the Great: Portrait ...,58.55,4
The Mathews Men: Seven ...,42.91,5
The Hiding Place,55.91,4
America's War for the ...,51.22,2
The Guns of August,14.54,2
House of Lost Worlds: ...,43.70,2
