Title,Price,Rate
Sharp Objects,47.82,4
"In a Dark, Dark ...",19.63,1
The Past Never Ends,56.50,4
A Murder in Time,16.64,1
The Murder of Roger ...,44.10,4
The Last Mile (Amos ...,54.21,2
That Darkness (Gardiner and ...,13.92,1
Tastes Like Fear (DI ...,10.69,1
A Time of Torment ...,48.35,5
A Study in Scarlet ...,16.73,2
Poisonous (Max Revere Novels ...,26.80,3
Murder at the 42nd ...,54.36,4
Most Wanted,35.28,3
Hide Away (Eve Duncan ...,11.84,1
Boar Island (Anna Pigeon ...,59.48,3
The Widow,27.26,2
Playing with Fire,13.71,3
What Happened on Beale ...,25.37,5
The Bachelor Girl's Guide ...,52.30,5
Delivering the Truth (Quaker ...,20.89,4
The Mysterious Affair at ...,24.80,4
In the Woods (Dublin ...,38.38,2
The Silkworm (Cormoran Strike ...,23.05,5
The Exiled,43.45,3
The Cuckoo's Calling (Cormoran ...,19.21,1
Extreme Prey (Lucas Davenport ...,25.40,3
Career of Evil (Cormoran ...,24.72,2
The No. 1 Ladies' ...,57.70,4
The Girl You Lost,12.29,5
The Girl In The ...,15.85,3
Blood Defense (Samantha Brinkman ...,20.30,3
1st to Die (Women's ...,53.98,1
