Title,Price,Rate
Worlds Elsewhere: Journeys Around ...,40.30,5
The Five Love Languages: ...,31.05,3
Reasons to Stay Alive,26.41,2
#HigherSelfie: Wake Up Your ...,23.11,5
Unseen City: The Majesty ...,44.18,4
Throwing Rocks at the ...,31.12,3
The Life-Changing Magic of ...,16.77,3
The Gutsy Girl: Escapades ...,37.13,1
The Electric Pencil: Drawings ...,56.06,1
Spark Joy: An Illustrated ...,41.83,4
Reskilling America: Learning to ...,19.83,2
In the Country We ...,22.00,4
Everydata: The Misinformation Hidden ...,54.35,2
Call the Nurse: True ...,29.14,5
Algorithms to Live By: ...,30.81,1
The Power of Now: ...,43.54,2
The Omnivore's Dilemma: A ...,38.21,2
The Genius of Birds,17.24,1
The Artist's Way: A ...,38.49,5
So You've Been Publicly ...,12.23,2
Daring Greatly: How the ...,19.43,3
Big Magic: Creative Living ...,30.80,3
Becoming Wise: An Inquiry ...,27.43,2
Agnostic: A Spirited Manifesto,12.51,5
Whole Lotta Creativity Going ...,38.20,4
What's It Like in ...,19.60,2
The Year of Magical ...,43.04,2
The Literature Book (Big ...,17.43,3
The Bad-Ass Librarians of ...,15.77,1
Swell: A Year of ...,45.58,1
No Dream Is Too ...,21.95,2
Looking for Lovely: Collecting ...,29.14,5
Let It Out: A ...,26.79,5
Hamilton: The Revolution,58.79,3
Far & Away: Places ...,15.06,4
Eaternity: More than 150 ...,51.75,5
Buying In: The Secret ...,37.80,4
Brain on Fire: My ...,49.32,5
Abstract City,56.37,5
13 Hours: The Inside ...,27.06,1
The Lonely City: Adventures ...,33.26,2
The Diary of a ...,59.90,3
Snatched: How A Drug ...,21.21,3
Furiously Happy: A Funny ...,41.46,4
The Sleep Revolution: Transforming ...,11.68,4
"Mother, Can You Not?",16.89,5
A Mother's Reckoning: Living ...,19.53,3
10% Happier: How I ...,24.57,2
Chernobyl 01:23:40: The Incredible ...,35.92,2
Zero to One: Notes ...,34.06,3
Why Not Me?,17.76,1
When Breath Becomes Air,39.36,2
"The Midnight Assassin: Panic, ...",28.45,4
Smarter Faster Better: The ...,38.89,5
Rising Strong,21.82,3
Man's Search for Meaning,29.48,3
Love That Boy: What ...,25.06,2
Living Forward: A Proven ...,12.55,3
I Will Find You,44.21,1
Brazen: The Courage to ...,19.22,2
Between the World and ...,56.91,4
Being Mortal: Medicine and ...,55.06,4
A Murder Over a ...,13.20,3
For the Love: Fighting ...,45.13,3
Finding God in the ...,46.64,2
The Man Who Mistook ...,59.45,4
In Cold Blood,49.98,4
"Girl, Interrupted",42.14,3
Why Save the Bankers?: ...,48.67,2
Talking to Girls About ...,25.15,4
My Mother Was Nuts,31.63,4
"Data, A Love Story: ...",32.35,3
The Jazz of Physics: ...,38.71,3
The Gunning of America: ...,16.81,4
The Geography of Bliss: ...,28.23,2
God Is Not Great: ...,27.80,1
We the People: The ...,31.95,3
Very Good Lives: The ...,50.66,3
"Unstuffed: Decluttering Your Home, ...",58.09,1
Under the Banner of ...,30.00,1
Trespassing Across America: One ...,53.51,1
The Name of God ...,37.25,2
Stiff: The Curious Lives ...,36.74,3
Spilled Milk: Based on ...,49.51,1
Rise of the Rocket ...,41.67,4
Outliers: The Story of ...,14.16,1
Notes from a Small ...,40.17,1
Night (The Night Trilogy ...,13.51,1
Miracles from Heaven: A ...,57.83,1
Letter to a Christian ...,22.20,1
Let's Pretend This Never ...,45.11,1
It's Never Too Late ...,42.38,1
Into the Wild,56.70,5
In the Garden of ...,28.85,3
I Am Malala: The ...,28.88,2
Gratitude,26.66,5
Disrupted: My Misadventure in ...,15.28,5
Brave Enough,51.32,5
Born to Run: A ...,27.35,2
Blink: The Power of ...,21.74,5
Black Flags: The Rise ...,40.87,1
Are We Smart Enough ...,56.58,1
A Walk in the ...,30.48,4
The Suffragettes (Little Black ...,11.89,2
Kindle Paperwhite User's Guide,34.00,3
H is for Hawk,57.42,5
Travels with Charley: In ...,57.82,5
The Tumor,41.56,5
The End of the ...,14.40,1
"Eat, Pray, Love",51.32,3
