Title,Price,Rate
Chase Me (Paris Nights ...,25.27,5
Black Dust,34.53,5
Her Backup Boyfriend (The ...,33.97,1
First and First (Five ...,15.97,4
Fifty Shades Darker (Fifty ...,21.96,1
The Wedding Dress,24.12,1
Suddenly in Love (Lake ...,55.99,2
Something More Than This,16.24,4
Doing It Over (Most ...,35.61,3
The Wedding Pact (The ...,32.61,3
Hold Your Breath (Search ...,28.82,1
Dirty (Dive Bar #1),40.83,4
Take Me Home Tonight ...,53.98,3
Off the Hook (Fishing ...,47.67,3
A Gentleman's Position (Society ...,14.75,5
"Sit, Stay, Love",20.90,3
A Girl's Guide to ...,31.30,1
The Perfect Play (Play ...,59.99,3
Dark Lover (Black Dagger ...,12.87,1
Changing the Game (Play ...,13.38,3
A Walk to Remember,56.43,1
The Purest Hook (Second ...,12.25,1
The Obsession,45.43,1
Reservations for Two,11.10,3
Best of My Love ...,27.41,2
Where Lightning Strikes (Bleeding ...,39.77,3
This One Moment (Pushing ...,48.71,1
"Rhythm, Chord & Malykhin",28.34,2
My Perfect Mistake (Over ...,38.92,2
Listen to Me (Fusion ...,58.99,3
Imperfect Harmony,34.74,4
Fighting Fate (Fighting #6),39.24,3
Deep Under (Walker Security ...,47.09,5
Charity's Cross (Charles Towne ...,41.24,1
Bounty (Colorado Mountain #7),37.26,4
