Title,Price,Rate
Mesaerion: The Best Science ...,37.59,1
Join,35.67,5
William Shakespeare's Star Wars: ...,43.30,4
The Project,10.65,1
Soft Apocalypse,26.12,2
Sleeping Giants (Themis Files ...,48.74,1
Arena,21.36,4
Foundation (Foundation (Publication Order) ...,32.42,1
The Restaurant at the ...,10.92,1
Ready Player One,19.07,4
"Life, the Universe and ...",33.26,2
Dune (Dune #1),54.86,1
Do Androids Dream of ...,51.48,1
Three Wishes (River of ...,44.18,2
The Last Girl (The ...,36.26,2
Having the Barbarian's Baby ...,34.96,4
