Title,Price,Rate
The Most Perfect Thing: ...,42.96,4
Immunity: How Elie Metchnikoff ...,57.36,5
Sorting the Beef from ...,44.74,4
Tipping Point for Planet ...,37.55,1
The Fabric of the ...,55.91,1
Diary of a Citizen ...,28.41,1
The Origin of Species,10.01,4
The Grand Design,13.76,3
Peak: Secrets from the ...,16.28,2
"The Elegant Universe: Superstrings, ...",13.03,4
The Disappearing Spoon: And ...,57.35,5
"Surely You're Joking, Mr. ...",25.83,2
Seven Brief Lessons on ...,30.60,4
The Selfish Gene,29.45,1
