Title,Price,Rate
Scott Pilgrim's Precious Little ...,52.29,5
Tsubasa: WoRLD CHRoNiCLE 2 ...,16.28,1
This One Summer,19.49,4
The Nameless City (The ...,38.16,4
"Saga, Volume 5 (Saga ...",51.04,2
"Rat Queens, Vol. 3: ...",50.40,3
"Princess Jellyfish 2-in-1 Omnibus, ...",13.61,5
"Pop Gun War, Volume ...",18.97,1
Patience,10.16,3
"Outcast, Vol. 1: A ...",15.44,4
orange: The Complete Collection ...,48.41,1
"Lumberjanes, Vol. 2: Friendship ...",46.91,2
"Lumberjanes, Vol. 1: Beware ...",45.61,3
Lumberjanes Vol. 3: A ...,19.92,2
"I Hate Fairyland, Vol. ...",29.17,2
I am a Hero ...,54.63,3
"Giant Days, Vol. 2 ...",22.11,2
Danganronpa Volume 1,51.99,4
"Codename Baboushka, Volume 1: ...",36.72,4
Camp Midnight,17.08,4
"Bitch Planet, Vol. 1: ...",37.92,2
The Shadow Hero (The ...,33.14,1
"Fables, Vol. 1: Legends ...",41.62,4
Batman: The Long Halloween ...,36.50,2
Batman: The Dark Knight ...,15.38,5
"Wonder Woman: Earth One, ...",37.34,4
"We Are Robin, Vol. ...",53.90,1
Through the Woods,25.38,2
Superman Vol. 1: Before ...,11.89,5
"So Cute It Hurts!!, ...",35.43,4
Robin War,47.82,3
"Red Hood/Arsenal, Vol. 1: ...",25.48,2
"Naruto (3-in-1 Edition), Vol. ...",38.39,2
Lowriders to the Center ...,51.51,2
El Deafo,57.62,5
Batman: Europa,32.01,2
Art Ops Vol. 1,48.80,3
Adulthood Is a Myth: ...,10.90,2
"Fruits Basket, Vol. 9 ...",33.95,4
Roller Girl,14.10,5
"Fruits Basket, Vol. 7 ...",19.57,1
"Fruits Basket, Vol. 6 ...",20.96,4
"Death Note, Vol. 6: ...",36.39,3
"Fruits Basket, Vol. 5 ...",16.33,1
"Death Note, Vol. 5: ...",52.41,1
The Demon Prince of ...,27.88,2
"Fruits Basket, Vol. 4 ...",50.44,4
The Wicked + The ...,14.41,3
"The Sandman, Vol. 3: ...",55.55,5
"Saga, Volume 3 (Saga ...",21.57,5
Prodigy: The Graphic Novel ...,43.63,3
Persepolis: The Story of ...,39.13,1
Original Fake,31.45,3
"Grayson, Vol 3: Nemesis ...",42.72,1
"Fruits Basket, Vol. 3 ...",45.17,2
"Black Butler, Vol. 1 ...",49.31,1
Awkward,38.02,2
"The Sandman, Vol. 2: ...",54.81,1
"Saga, Volume 2 (Saga ...",11.75,3
"Fruits Basket, Vol. 2 ...",11.64,5
"Y: The Last Man, ...",18.51,4
The Wicked + The ...,36.52,2
"The Sandman, Vol. 1: ...",54.12,3
The Complete Maus (Maus ...,10.64,3
"Skip Beat!, Vol. 01 ...",42.12,3
"Saga, Volume 1 (Saga ...",28.48,1
"Rat Queens, Vol. 1: ...",46.96,5
"Paper Girls, Vol. 1 ...",21.71,4
Ouran High School Host ...,29.87,3
"Ms. Marvel, Vol. 1: ...",39.39,4
"Hawkeye, Vol. 1: My ...",45.24,3
"Giant Days, Vol. 1 ...",56.76,4
"Fruits Basket, Vol. 1 ...",40.28,5
"Bleach, Vol. 1: Strawberry ...",34.65,5
"Ajin: Demi-Human, Volume 1 ...",57.06,4
