Title,Price,Rate
I Had a Nice ...,57.36,4
Will You Won't You ...,13.86,3
Keep Me Posted,20.46,4
Grey (Fifty Shades #4),48.49,4
Meternity,43.58,3
Some Women,13.73,5
Shopaholic Ties the Knot ...,48.39,5
Can You Keep a ...,21.94,1
Twenties Girl,42.80,2
The Undomestic Goddess,45.75,4
The Nanny Diaries (Nanny ...,52.53,5
The Devil Wears Prada ...,44.29,1
Something Borrowed (Darcy & ...,48.96,5
Something Blue (Darcy & ...,54.62,1
I've Got Your Number,19.69,1
The Edge of Reason ...,19.18,4
Bridget Jones's Diary (Bridget ...,29.82,1
