Title,Price,Rate
The Requiem Red,22.65,1
Set Me Free,17.46,5
The Natural History of ...,45.22,3
Obsidian (Lux #1),14.86,2
Burning,28.81,3
A Fierce and Subtle ...,28.13,4
Scarlett Epstein Hates It ...,43.55,5
"Nightingale, Sing",38.28,1
Library of Souls (Miss ...,48.56,5
Frostbite (Vampire Academy #2),29.99,5
Wild Swans,14.36,2
Until Friday Night (The ...,46.31,2
This Is Where It ...,27.12,2
The Darkest Lie,35.35,5
My Kind of Crazy,40.36,1
Don't Get Caught,55.35,1
Catching Jordan (Hundred Oaks),50.83,3
Aristotle and Dante Discover ...,58.14,4
The Epidemic (The Program ...,14.44,5
Stars Above (The Lunar ...,48.05,2
No Love Allowed (Dodge ...,54.65,4
"Exit, Pursued by a ...",51.34,4
The Alien Club,54.40,1
Don't Forget Steven,33.23,1
South of Sunshine,28.93,1
My Life Next Door ...,36.39,5
Future Shock (Future Shock ...,55.65,5
Nightstruck: A Novel,50.35,4
Tell the Wolves I'm ...,50.96,2
"Will Grayson, Will Grayson ...",47.31,4
Where She Went (If ...,41.73,4
Two Summers,14.64,1
The Darkest Corners,11.33,5
Tell Me Three Things,41.81,1
Lola and the Boy ...,23.63,4
Kill the Boy Band,15.52,5
Isla and the Happily ...,48.13,5
An Abundance of Katherines,10.00,5
Harry Potter and the ...,24.17,4
Walk the Edge (Thunder ...,32.36,3
Two Boys Kissing,32.74,2
The New Guy (and ...,44.92,3
"The Land of 10,000 ...",29.64,4
Scarlet (The Lunar Chronicles ...,14.57,4
Legend (Legend #1),43.69,4
Lady Renegades (Rebel Belle ...,53.04,5
Golden (Heart of Dread ...,42.21,4
Cinder (The Lunar Chronicles ...,26.09,1
Boy Meets Boy,21.12,3
Annie on My Mind,36.83,5
New Moon (Twilight #2),12.86,4
Girl Online On Tour ...,53.47,1
The Haters,27.89,5
The Art of Not ...,40.83,4
